allocation_of,seed,trained_b2a,trained_a2b,trained_family_f1,trained_fine_f1,trained_hsr_balanced,trained_hsr_miss,trained_hsr_fatigue,trained_awbir,recal_b2a,recal_a2b,recal_family_f1,recal_fine_f1,recal_hsr_balanced,recal_hsr_miss,recal_hsr_fatigue,recal_awbir
magnitude,1409,0.0,0.05547658308220087,0.5502086114358282,0.48318150253649356,0.1886232902978397,0.16609448330015888,0.1608380051496503,0.18571422591740677,0.0,0.053524383540872994,0.5531828318453329,0.48909601272759723,0.18721352787567797,0.16460619784152955,0.1595295922280455,0.16571233504021946
magnitude,1511,0.00025,0.054254089194670306,0.5670767075236048,0.4922783221366989,0.18984131042165045,0.16691090983242332,0.16158306093752853,0.10267453342499933,0.0005,0.05235874983415781,0.5714504449298903,0.5014683787965065,0.18857581125253373,0.16554969169055836,0.1603759975164807,0.08127735936933886
magnitude,1607,0.0,0.06006330433464112,0.5303970878624986,0.46395325749377814,0.20459998904329724,0.180144932829325,0.1739148298971896,0.1815571889476797,0.0,0.058509126059020866,0.5313152227292058,0.4752794688257122,0.19991052026076953,0.17598747283650773,0.16969741239203082,0.1700011506438312
magnitude,1709,0.00025,0.04928830007012756,0.5953044459493411,0.5372673276366968,0.18357407644126295,0.16089081036991046,0.15593396760468217,0.07104714554160067,0.0005,0.047961562517768806,0.6201221830779735,0.535261427799927,0.18160734829531966,0.15903654060371433,0.1545972498676065,0.06378170704051696
magnitude,1801,0.00025,0.05310740888156024,0.5801197398176078,0.49208209820016163,0.19084019649020287,0.16755918141256246,0.1627344277861982,0.09291040351677936,0.0,0.05142055685070412,0.5925871294665123,0.4962850980853441,0.18815215207903435,0.16505055300913668,0.16049469512974562,0.07641532301101023
magnitude,1907,0.0,0.05773203692121074,0.5739788879034766,0.5034423831916364,0.18868720439729003,0.1665099249465861,0.16059330545461187,0.08142301817152017,0.0,0.05613047516157768,0.5777583600717299,0.510396547869119,0.18499296944906046,0.16317421766098744,0.15745147093734593,0.07274981856198408
magnitude,2003,0.00075,0.05040655029282993,0.6266133231282152,0.5345707494303615,0.17423531345300486,0.15328351077104752,0.14838297328390643,0.05391007580093041,0.00125,0.050586607532078616,0.6174962665573456,0.5269459628917504,0.1758806449845693,0.1546789686090466,0.14981830134584834,0.05830465765324385
taylor,101,0.0,0.05730558556509543,0.6577587758031013,0.5624174262951875,0.17286937784189477,0.1532599234248218,0.14721973667391025,0.03754198915496731,0.0,0.059134588047989996,0.6508165255941274,0.5541303957482282,0.17351217107065248,0.15408928495340357,0.14765526560873615,0.040837996556240305
taylor,211,0.00025,0.05855650954303368,0.5906615411145831,0.5112044276828619,0.18227388104673034,0.16129559966642928,0.15499625645988935,0.06856600289220428,0.00025,0.05783628058603893,0.5994943872265925,0.5296501274097841,0.18076002994832088,0.15991840299970173,0.15371888752944612,0.05960649311834752
taylor,307,0.0,0.05605466158715718,0.6101811832387314,0.5093908135001368,0.18116908018480304,0.15997546915992525,0.15452237906539326,0.049172261181850634,0.0,0.05421618240746005,0.6299101131347091,0.523800143307983,0.17758623838132978,0.1566945453881412,0.15137506619674584,0.035800014191576024
taylor,401,0.00025,0.0576657000435928,0.6121978120935943,0.5154977928642016,0.1809061193184931,0.1600127523846046,0.15385036796260113,0.05465196483941329,0.00025,0.05503117833248043,0.6050134376446633,0.5117490029918361,0.1787275615858001,0.15777423713957014,0.15213016562882342,0.056818388907091844
taylor,503,0.00025,0.05653797312408787,0.5729230639150906,0.5083077345325923,0.1804751556764851,0.159472526067822,0.1534084476178302,0.08019998148276163,0.00025,0.05666117018252118,0.5897731282608867,0.5242942105089018,0.1783440769890981,0.1577164100972103,0.15175033326637571,0.0664408075299787
