source_index,target_index,source_class,target_class,source_family,target_family,transition_type,support,confusion_rate,mean_margin,margin_std,vulnerability_probability,operational_cost,stability,raw_weight,normalized_weight,cost_profile
20,11,DoS-TCP_Flood,DDoS-SlowLoris,dos,ddos,cross_family_attack,18572,0.0023691578720654747,11.059010482416674,2.2703765068933284,2.2451114076845476e-05,6.0,1.0,0.00717482695842696,7.109076838104591e-05,miss_sensitive
20,4,DoS-TCP_Flood,DDoS-ACK_Fragmentation,dos,ddos,cross_family_attack,18572,0.0004846004738315744,9.594125527590466,1.548391824056179,9.714699002520953e-05,6.0,1.0,0.0017452423915703518,1.729248988816203e-05,miss_sensitive
21,14,DoS-UDP_Flood,DDoS-UDP_Flood,dos,ddos,cross_family_attack,22308,0.0914470145239376,5.030562768637351,2.400797860768733,0.5215979793156956,6.0,1.0,1.8391349815188995,0.01822281146990958,miss_sensitive
21,11,DoS-UDP_Flood,DDoS-SlowLoris,dos,ddos,cross_family_attack,22308,0.0018827326519634212,5.347274201972383,1.4885012888170983,0.38000549124417476,6.0,1.0,1.1456646716884147,0.01135165799666961,miss_sensitive
21,7,DoS-UDP_Flood,DDoS-ICMP_Fragmentation,dos,ddos,cross_family_attack,22308,0.0006275775506544738,8.1968598976245,1.391715784543479,0.021990268346482513,6.0,1.0,0.06785353769141096,0.0006723172781455133,miss_sensitive
22,1,MITM-ArpSpoofing,BenignTraffic,spoofing_mitm,benign,attack_to_benign,27485,0.09175914134982718,1.9278126441479022,4.320222303415414,0.07557218006483608,12.0,1.0,1.0039879284879798,0.00994787382261181,miss_sensitive
22,29,MITM-ArpSpoofing,Recon-PortScan,spoofing_mitm,reconnaissance,cross_family_attack,27485,0.07513189012188466,1.282064431994389,4.143640725618826,0.1441474074812121,6.0,1.0,0.6578378928092903,0.006518094658025563,miss_sensitive
22,27,MITM-ArpSpoofing,Recon-OSScan,spoofing_mitm,reconnaissance,cross_family_attack,27485,0.07240312897944333,1.289550354566892,4.31252455124587,0.1430723600311478,6.0,1.0,0.6464264670317733,0.006405026143405272,miss_sensitive
23,24,Mirai-greeth_flood,Mirai-greip_flood,mirai,mirai,same_family_attack,29454,0.01086439872343315,5.414425316904735,1.3685879001619965,0.9615020471802483,2.0,1.0,0.9723664459036815,0.00963455678970061,miss_sensitive
23,7,Mirai-greeth_flood,DDoS-ICMP_Fragmentation,mirai,ddos,cross_family_attack,29454,0.0,10.622900224640437,1.2144508330373294,0.005259425427373579,6.0,1.0,0.015778276282120737,0.00015633684144911,miss_sensitive
