method,regime,seed,epoch,eval_b2a,eval_family_f1,eval_fine_f1,eval_a2b,eval_awbir,eval_hsr,eval_ece,batch_b2a,batch_family_f1
fisher,full_ce,401,3,0.0015,0.5548986710114483,0.47800624360862615,0.04889027880441993,0.1051259861959358,0.1805408958930626,0.23700856569054965,0.0005,0.6064372285071249
fisher,full_ce,401,4,0.11775,0.6054024801987461,0.5222271787762192,0.04627471048691268,0.03475597295460415,0.1888351198845894,0.1853851420813744,0.0005,0.6144244661779541
fisher,full_ce,401,5,0.00025,0.6019615625552018,0.5076293809039583,0.06309584731146112,0.06473107266013448,0.18824163181826484,0.24140957514341901,0.001,0.6562451596818997
fisher,full_ce,401,6,0.00375,0.6131877348804433,0.506480598701201,0.07157749094975456,0.06439924481954329,0.20001460893701722,0.24754846747468717,0.00025,0.619451189627484
fisher,full_ce,503,1,0.0005,0.5685954613902072,0.5001042846418491,0.05355281363128068,0.07818790549753941,0.18240536147988534,0.1980729945251114,0.00075,0.6073410143811199
fisher,full_ce,503,2,0.00125,0.5804857645578207,0.5236550594475619,0.06242300183847918,0.05149137178680182,0.18731761655192564,0.21039272323963243,0.001,0.6421395839236929
fisher,full_ce,503,3,0.00075,0.5687658251713056,0.5022133958104317,0.06518072060802486,0.06440797692826501,0.18866894322601852,0.22044988377606997,0.00125,0.604912368175061
fisher,full_ce,503,4,0.00175,0.6328914998600459,0.5419925174005521,0.05286101476469362,0.046899007558931886,0.1747813224740235,0.21172587547040464,0.0005,0.6377032161023144
fisher,full_ce,503,5,0.0,0.5458703385993299,0.4792171497477548,0.06169329618468187,0.15279963543690955,0.1909351545808148,0.24168272374838703,0.0,0.6014214857221875
fisher,full_ce,503,6,0.0015,0.5794287324302715,0.5004816873790122,0.05378025435454218,0.05753780597340715,0.1813900403571885,0.23487772300896578,0.00025,0.6293079764710006
saber_v2,minimal_ce,101,1,0.00125,0.5586308170203645,0.4982060276501684,0.06029074505790262,0.06227387920388144,0.18909808075089934,0.19237628533784545,0.00125,0.6259238227483674
saber_v2,minimal_ce,211,1,0.00075,0.5942789968502865,0.5188549436644851,0.052917874945508994,0.04220092043968539,0.17777615456255363,0.179075234102529,0.00125,0.6635659446596829
saber_v2,minimal_ce,307,1,0.00075,0.539711159871914,0.4858339007579114,0.05356229032808325,0.12482498980196358,0.18507331860265516,0.18943897983689736,0.00175,0.6512205075475945
saber_v2,minimal_ce,401,1,0.002,0.5639028280893434,0.49902032392917994,0.049269346676522434,0.08451072371731788,0.17742188783988605,0.17791234624119742,0.001,0.6199613119314171
saber_v2,minimal_ce,503,1,0.00125,0.5693789209067578,0.46998866958531266,0.05001800572392487,0.07387538645140984,0.19117437592447178,0.22651670004763297,0.002,0.616636373725748
saber_v2,full_ce,101,1,0.0015,0.5581902128442557,0.499706736160394,0.05113625594662724,0.08677320430256237,0.18242362265115683,0.20457276604163135,0.00075,0.6387459544784332
saber_v2,full_ce,101,2,0.00125,0.5542209048906234,0.49453283285611827,0.053647580599306306,0.09732592816247415,0.18807545515969395,0.20892269616175313,0.0005,0.6150626445204964
saber_v2,full_ce,101,3,0.00125,0.5545340367609833,0.49577751847254786,0.055163852087716306,0.09764517046611655,0.18585124449882215,0.218814821939537,0.0015,0.6207738524096358
saber_v2,full_ce,101,4,0.0005,0.545463999753309,0.4883754472767458,0.05396978829059343,0.13889298424789148,0.18167126239477,0.21837327868896145,0.00125,0.6124110607731392
saber_v2,full_ce,101,5,0.0005,0.6025036435314362,0.5148941966358941,0.057277155474687744,0.07326467669871181,0.18402695348879677,0.24065710925396983,0.0005,0.6244453111341004
saber_v2,full_ce,101,6,0.0015,0.571820420720042,0.5042725002894625,0.055656640321449555,0.09081413244851481,0.18149960738481766,0.2207087215075524,0.00125,0.6360857334005399
saber_v2,full_ce,211,1,0.001,0.5399096259281175,0.49361301398163754,0.05290839824870643,0.100776402204783,0.1821752707218641,0.21371312550501578,0.0005,0.5876353837756052
saber_v2,full_ce,211,2,0.00025,0.6215550144167139,0.5214452590214642,0.05499327154527018,0.04907003472389305,0.17845729625098156,0.2083535977566997,0.00025,0.6789833323524234
