group_id,module_path,layer_index,channel_index,out_channels,in_channels,kernel_size,parameter_cost,flops_cost,batchnorm_path,downstream_path,downstream_kind,random,magnitude,taylor,fisher,bn_gamma
conv.3:out:25,conv.3,1,25,128,64,3,229,15812.0,conv.5,head,linear_in,0.5010447751033635,12.582912616431713,1.5214105357415975,0.0353459780511912,2.172523260116577
conv.3:out:26,conv.3,1,26,128,64,3,229,15812.0,conv.5,head,linear_in,0.15231210271316842,14.019429825246334,0.4782026301138103,0.003691398115142874,2.4340901374816895
conv.3:out:27,conv.3,1,27,128,64,3,229,15812.0,conv.5,head,linear_in,0.696320375077736,16.30247610807419,2.2685273877345025,0.07124324701362639,2.607524871826172
conv.3:out:28,conv.3,1,28,128,64,3,229,15812.0,conv.5,head,linear_in,0.4461562755740307,13.505410626530647,2.274712215922773,0.09715259546537709,2.222750425338745
conv.3:out:29,conv.3,1,29,128,64,3,229,15812.0,conv.5,head,linear_in,0.3810212260964825,12.896560311317444,0.6058961286442355,0.0046014778982907956,1.8354613780975342
conv.3:out:30,conv.3,1,30,128,64,3,229,15812.0,conv.5,head,linear_in,0.3015120891478765,16.880991101264954,0.11516396653605625,0.00033342758479193435,2.752556085586548
conv.3:out:31,conv.3,1,31,128,64,3,229,15812.0,conv.5,head,linear_in,0.6302825931188885,15.706153005361557,0.9967427046038211,0.010157315457763615,1.8814096450805664
conv.3:out:32,conv.3,1,32,128,64,3,229,15812.0,conv.5,head,linear_in,0.3618126105533904,14.103911405429244,1.4519632048904896,0.028760685086490413,2.173314332962036
conv.3:out:33,conv.3,1,33,128,64,3,229,15812.0,conv.5,head,linear_in,0.087649919316101,15.068360894918442,0.76265833619982,0.008703380412771366,2.3577945232391357
conv.3:out:34,conv.3,1,34,128,64,3,229,15812.0,conv.5,head,linear_in,0.11800590212051532,14.77673077583313,0.9259136911481619,0.015142303198808804,2.2103426456451416
conv.3:out:35,conv.3,1,35,128,64,3,229,15812.0,conv.5,head,linear_in,0.9618976645495145,15.437850922346115,2.517579430807382,0.10689276554912794,1.9515067338943481
conv.3:out:36,conv.3,1,36,128,64,3,229,15812.0,conv.5,head,linear_in,0.908580690707607,11.806807406246662,0.28893057266250255,0.001787338099165936,1.7242581844329834
conv.3:out:37,conv.3,1,37,128,64,3,229,15812.0,conv.5,head,linear_in,0.6997071338107496,13.904002070426941,0.04911241548252292,5.1366850993872506e-05,2.585352897644043
conv.3:out:38,conv.3,1,38,128,64,3,229,15812.0,conv.5,head,linear_in,0.2658699614595196,14.368688831105828,1.1572043654392474,0.017623853440522908,2.067474126815796
conv.3:out:39,conv.3,1,39,128,64,3,229,15812.0,conv.5,head,linear_in,0.9691763773477239,15.443182907998562,1.3757291667163372,0.023309537454042583,2.1604995727539062
conv.3:out:40,conv.3,1,40,128,64,3,229,15812.0,conv.5,head,linear_in,0.7787509039657946,15.000350818037987,0.3888267991831526,0.002267611764091271,2.145761728286743
conv.3:out:41,conv.3,1,41,128,64,3,229,15812.0,conv.5,head,linear_in,0.7168901891589956,15.029701948165894,1.151909920014441,0.024244842620100827,1.9256346225738525
conv.3:out:42,conv.3,1,42,128,64,3,229,15812.0,conv.5,head,linear_in,0.44936150214378867,12.13940979540348,1.0831280150916427,0.01802516805837513,1.7880725860595703
conv.3:out:43,conv.3,1,43,128,64,3,229,15812.0,conv.5,head,linear_in,0.272241561845159,12.921543031930923,0.2910601263283752,0.0027321037291414994,2.0787200927734375
conv.3:out:44,conv.3,1,44,128,64,3,229,15812.0,conv.5,head,linear_in,0.0963909621534993,14.855873845517635,1.3776031760498881,0.03164653491548961,2.288433790206909
conv.3:out:45,conv.3,1,45,128,64,3,229,15812.0,conv.5,head,linear_in,0.9026023965438417,12.86900083720684,0.13040237249806524,0.00040267819531436544,1.916620135307312
conv.3:out:46,conv.3,1,46,128,64,3,229,15812.0,conv.5,head,linear_in,0.45577628983361107,13.218060299754143,2.409694710280746,0.09922657024144428,1.8768887519836426
conv.3:out:47,conv.3,1,47,128,64,3,229,15812.0,conv.5,head,linear_in,0.20236336479523032,12.230612769722939,0.8123565943911671,0.01068823381792754,1.8891007900238037
conv.3:out:48,conv.3,1,48,128,64,3,229,15812.0,conv.5,head,linear_in,0.3059566241506525,14.91735252737999,0.14351909387041814,0.0002846211563991119,2.007340669631958
conv.3:out:49,conv.3,1,49,128,64,3,229,15812.0,conv.5,head,linear_in,0.579219568941896,14.2349271774292,0.18469157366198488,0.0004338287410391217,2.1070854663848877
conv.3:out:50,conv.3,1,50,128,64,3,229,15812.0,conv.5,head,linear_in,0.1767727829392317,13.790230438113213,4.832020971551538,0.32388592679053546,1.8100608587265015
