group_id,module_path,layer_index,channel_index,out_channels,in_channels,kernel_size,parameter_cost,flops_cost,batchnorm_path,downstream_path,downstream_kind
conv.3:out:75,conv.3,1,75,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:76,conv.3,1,76,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:77,conv.3,1,77,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:78,conv.3,1,78,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:79,conv.3,1,79,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:80,conv.3,1,80,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:81,conv.3,1,81,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:82,conv.3,1,82,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:83,conv.3,1,83,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:84,conv.3,1,84,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:85,conv.3,1,85,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:86,conv.3,1,86,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:87,conv.3,1,87,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:88,conv.3,1,88,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:89,conv.3,1,89,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:90,conv.3,1,90,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:91,conv.3,1,91,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:92,conv.3,1,92,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:93,conv.3,1,93,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:94,conv.3,1,94,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:95,conv.3,1,95,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:96,conv.3,1,96,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:97,conv.3,1,97,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:98,conv.3,1,98,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:99,conv.3,1,99,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:100,conv.3,1,100,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:101,conv.3,1,101,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:102,conv.3,1,102,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:103,conv.3,1,103,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:104,conv.3,1,104,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:105,conv.3,1,105,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:106,conv.3,1,106,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:107,conv.3,1,107,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:108,conv.3,1,108,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:109,conv.3,1,109,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:110,conv.3,1,110,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:111,conv.3,1,111,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:112,conv.3,1,112,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:113,conv.3,1,113,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:114,conv.3,1,114,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:115,conv.3,1,115,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:116,conv.3,1,116,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:117,conv.3,1,117,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:118,conv.3,1,118,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:119,conv.3,1,119,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:120,conv.3,1,120,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:121,conv.3,1,121,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:122,conv.3,1,122,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:123,conv.3,1,123,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:124,conv.3,1,124,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:125,conv.3,1,125,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:126,conv.3,1,126,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:127,conv.3,1,127,128,64,3,229,15812.0,conv.5,head,linear_in
