architecture,method,seed,raw_awbir,is_collapse,trained_b2a,trained_a2b,trained_family_f1,trained_fine_f1,trained_awbir,trained_ece,trained_hsr_balanced,trained_hsr_miss,trained_hsr_fatigue,recal_b2a,recal_a2b,recal_family_f1,recal_fine_f1,recal_awbir,recal_ece,recal_hsr_balanced,recal_hsr_miss,recal_hsr_fatigue
shallow,fisher,1801,0.13486013260172358,False,0.06425,0.028079452625992683,0.664510097710465,0.5224452896660075,0.09732937377375821,0.09870261126111679,0.1543324628841694,0.1325327331495042,0.1350066653275141,0.0385,0.03438145599969675,0.6473545743525757,0.5349806905925648,0.09921469068226453,0.0946172826357822,0.15762677818155257,0.13652508171874145,0.1365917349938825
shallow,fisher,1907,0.13486013260172358,False,0.0145,0.043564375201379804,0.6354207027447414,0.557221307023727,0.09689474400460414,0.07127198733072401,0.15827870199594601,0.1387620751995033,0.13555906575847776,0.02,0.03572714694566062,0.6322829142696653,0.5549817888858307,0.0963933239697622,0.07118290310778819,0.15597596829860666,0.1355344131772612,0.13396760468216432
shallow,fisher,2003,0.13486013260172358,False,0.0335,0.031424726597297246,0.618495076783829,0.5405642294585516,0.09139916691548783,0.07902241281512914,0.15226895053048703,0.13163108781797264,0.1314722156279104,0.02,0.038361668656773,0.6042428151160418,0.5368598807309614,0.09502400366282328,0.08478577768858495,0.1581490476799182,0.1377683631294778,0.13579828710213473
shallow,saber_v2,101,0.11000644070767861,False,0.0115,0.05746668941073899,0.5774926366765594,0.535975005354887,0.09488106263698111,0.08545754772993894,0.1671006738372199,0.14837353834541614,0.14222348021402093,0.015,0.052017588749265556,0.6123479294740359,0.5488821278896873,0.09172332345458732,0.08238348744314702,0.16028560471868664,0.141787342573486,0.13685469586019247
shallow,saber_v2,211,0.11000644070767861,False,0.01725,0.044208790583954057,0.6528978536991628,0.5549331605843285,0.105997281683401,0.0731459061597229,0.1543324628841694,0.13555191346639642,0.13244918829093696,0.0095,0.045819829040389684,0.6326086945258997,0.5524443549643672,0.10676585763836519,0.08908912038402667,0.15832435492412483,0.13920795213138304,0.1354494987308486
shallow,saber_v2,307,0.11000644070767861,False,0.0135,0.043062110270843994,0.6204580972691202,0.561262844741129,0.09453299838842964,0.06426192133322672,0.15347966618578918,0.13469135577022576,0.13136082248315406,0.02375,0.03565133337124012,0.6688679842054469,0.5784437146541623,0.09008908624824824,0.05852211874525925,0.14189660524826062,0.12375519682499102,0.12225488942860796
shallow,saber_v2,401,0.11000644070767861,False,0.08025,0.019616762381304373,0.6263743127935141,0.5583514729581027,0.0925131857416629,0.06897336443775794,0.14067128065594128,0.11964338976035256,0.12296981428388817,0.03475,0.029595724114402682,0.6326816602067195,0.5610467975110133,0.08742474010902036,0.07670871799536522,0.14734026040430231,0.12721873230949032,0.1273123208122569
shallow,saber_v2,503,0.11000644070767861,False,0.0105,0.04696650935349975,0.6276901327927853,0.5632135322664693,0.11817019995549931,0.060142141468018495,0.16107813955187084,0.14167777554585684,0.13720165811435145,0.01775,0.03322529898978412,0.6335832714147124,0.5568331732567634,0.10975526962435962,0.07620586890281132,0.15063274958455836,0.13070052896526116,0.12950457442340352
shallow,saber_v2,613,0.11000644070767861,False,0.01375,0.05293682833911412,0.6133017363252367,0.5504026613697521,0.10314176131475965,0.08774057472063111,0.16414966855974142,0.14516642014085449,0.14000292178740342,0.0315,0.036267318663406684,0.6255313767756557,0.555951165378795,0.09495213574727732,0.08771388317130323,0.1529701795073136,0.13301132801324544,0.13158543488979385
shallow,saber_v2,719,0.11000644070767861,False,0.0145,0.04487215936013343,0.5820457532080122,0.5338200650662724,0.1334004784098343,0.0795487219781531,0.16028743083581382,0.14064601936901566,0.137034568397217,0.0155,0.04277780936676712,0.6152023470682705,0.5521537744459262,0.12159801020582724,0.08111868687271258,0.15436350687533099,0.13536397557872695,0.13223005423567868
shallow,saber_v2,823,0.11000644070767861,False,0.031,0.03620098178578875,0.6394403638935235,0.5538291813888944,0.12342859045246762,0.09023534126052497,0.15139058819232665,0.1316889148603325,0.13039480652289037,0.02375,0.03814370463031406,0.616042398828347,0.5521153655283774,0.10279564870561252,0.0914785078000275,0.15503003962674167,0.13509994947742615,0.13311754715947482
shallow,saber_v2,907,0.11000644070767861,False,0.03375,0.04149845529842118,0.6444242767468364,0.5446810003277519,0.09138243434554028,0.09461797481766314,0.16024360402476215,0.13989198517192894,0.13772849290553496,0.037,0.03391709785637118,0.615097019472552,0.5452311064452404,0.0974634228636477,0.09179882308792907,0.15596866383009805,0.13508244918829093,0.13426252259819943
shallow,saber_v2,1013,0.11000644070767861,False,0.0335,0.028420613710884935,0.6359457398662923,0.5635815400831932,0.10401012099312368,0.05872983591533019,0.14597432479319222,0.1259031670958042,0.12603586494037727,0.0235,0.03584086730729137,0.631061481254292,0.5548204121979271,0.09389992724918843,0.0826584693155563,0.1523237340443016,0.13247718875355333,0.13086503168313215
shallow,saber_v2,1109,0.11000644070767861,False,0.041,0.04027596141089062,0.6240545653481837,0.5412755464972038,0.11794007082519742,0.09773163549618596,0.1590675845948759,0.1386494646433289,0.13686291338726467,0.04225,0.03421087545725062,0.6250314474644157,0.5458559400552994,0.11234605526012628,0.09551276278726628,0.1536787129526488,0.13317339590828023,0.13258158178265553
shallow,saber_v2,1201,0.11000644070767861,False,0.042,0.03265669718163037,0.5999662421343586,0.5489859788658997,0.14095897940240018,0.0824824488276414,0.15702415952959223,0.13571398136143117,0.13495918628220813,0.02175,0.03482686074941718,0.6242090211888475,0.5537393689884617,0.11563787486563863,0.08266060191201362,0.1504884863315133,0.13080096540725455,0.1294050510399737
shallow,saber_v2,1303,0.11000644070767861,False,0.01775,0.04930725346373268,0.5944378857169892,0.5253008337011906,0.10375301915465845,0.09267052035270745,0.16467376417523422,0.14498380842813927,0.14124376837530359,0.01875,0.04854911771952768,0.6107401679974618,0.5509793188690802,0.09050583286295416,0.08222892260797283,0.1639122733332116,0.1442183609990078,0.1399883128503862
shallow,saber_v2,1409,0.11000644070767861,False,0.041,0.036466329296260494,0.5877831384407829,0.5389986076146749,0.0967963529210422,0.08226847945464745,0.15518891181680392,0.1348054880906728,0.1335603805628093,0.0395,0.03529121889274275,0.588544079818599,0.5380211624544714,0.10255360235240848,0.08935265726534747,0.15569292014389804,0.13505049213856576,0.1339329084567484
shallow,saber_v2,1511,0.11000644070767861,False,0.036,0.040057997384431686,0.5999476813663372,0.5384449068396124,0.1148769071520153,0.10612493865933405,0.15870966563795402,0.13836185119580238,0.13636438341155202,0.0305,0.04255984534030818,0.6049611800916332,0.5439257135949833,0.11051986560213875,0.10008080381323033,0.16030751812421248,0.14014535892332133,0.137495662971823
shallow,saber_v2,1607,0.11000644070767861,False,0.05775,0.029453573662364247,0.6177699450391096,0.5131633091509228,0.11640005867779296,0.10448446467817468,0.15719946677379887,0.13520190768369217,0.13704826427567066,0.03075,0.03591668088171187,0.6118370471752237,0.5378962341452757,0.10094857557254862,0.07955166701152905,0.15716294443125584,0.1364558414443369,0.1354148025054327
shallow,saber_v2,1709,0.11000644070767861,False,0.01275,0.04721290347036637,0.5874858820547133,0.5378310525726988,0.10828225402471893,0.09357583831978748,0.1640930589287997,0.14420923041337205,0.14011066269790545,0.01075,0.047620401432876554,0.6029830302708299,0.539288333763845,0.10601438261909482,0.1045118803074249,0.16514855462829386,0.14517250719794503,0.1409661985719764
