architecture,normalisation,metric,contrast,mean,ci_lo,ci_hi,half_width,p,p_holm,significant_holm
deep,trained,b2a,magnitude-fisher,0.0016249999999999997,0.0010524306078007937,0.0021975693921992057,0.0005725693921992061,1.019732433646885e-05,8.15785946917508e-05,True
deep,trained,b2a,magnitude-saber_v2,0.0016624999999999997,0.0011266245802981948,0.0021983754197018044,0.0005358754197018049,3.200039217304281e-06,3.200039217304281e-05,True
deep,trained,b2a,taylor-fisher,-8.75e-05,-0.00031926414734373236,0.00014426414734373233,0.00023176414734373235,0.4391638497237139,1.0,False
deep,trained,b2a,taylor-saber_v2,-5e-05,-0.0002633933931098164,0.0001633933931098164,0.0002133933931098164,0.6294562020426395,1.0,False
deep,trained,b2a,fisher-saber_v2,3.749999999999999e-05,-0.00030472829755316146,0.00037972829755316144,0.00034222829755316145,0.8210514114334884,1.0,False
deep,trained,family_f1,random-magnitude,-0.048767527369687466,-0.06834444099562983,-0.02919061374374509,0.019576913625942376,4.941766571804697e-05,0.00044475899146242275,True
deep,trained,family_f1,random-taylor,-0.017767326040787585,-0.0383401215259038,0.0028054694443286274,0.020572795485116212,0.08652806755746752,0.25958420267240256,False
deep,trained,family_f1,random-fisher,-0.018861230491890264,-0.034974513833492996,-0.002747947150287533,0.01611328334160273,0.024150457694997032,0.09798652878476868,False
deep,trained,family_f1,random-saber_v2,0.005678222799310578,-0.011416862219836657,0.022773307818457815,0.017095085019147235,0.4953397553110701,0.9906795106221402,False
deep,trained,family_f1,magnitude-taylor,0.031000201328899885,0.006410426901431565,0.055589975756368204,0.02458977442746832,0.01618968507139459,0.09713811042836754,False
deep,trained,family_f1,magnitude-fisher,0.029906296877797205,0.011398553396032931,0.04841404035956148,0.018507743481764274,0.00312873110575204,0.02502984884601632,True
deep,trained,family_f1,magnitude-saber_v2,0.05444575016899805,0.038228772019891145,0.07066272831810497,0.016216978149106907,1.087230918082097e-06,1.087230918082097e-05,True
deep,trained,family_f1,taylor-fisher,-0.0010939044511026786,-0.020588783398685136,0.018400974496479778,0.019494878947582457,0.9077403788784609,0.9906795106221402,False
deep,trained,family_f1,taylor-saber_v2,0.02344554884009816,0.004194633779044138,0.042696463901152185,0.019250915061054023,0.019597305756953738,0.09798652878476868,False
deep,trained,family_f1,fisher-saber_v2,0.02453945329120084,0.006403237133604928,0.04267566944879675,0.018136216157595912,0.010653513028280288,0.07457459119796202,False
deep,recal,awbir,random-magnitude,0.01974789991079709,0.00788566740463387,0.03161013241696031,0.01186223250616322,0.002481612208848887,0.022334509879639985,True
deep,recal,awbir,random-taylor,0.021656998508751062,0.004968204040614193,0.038345792976887935,0.01668879446813687,0.01370420666361454,0.09592944664530179,False
deep,recal,awbir,random-fisher,0.024411295782932885,0.008696163926490273,0.040126427639375496,0.01571513185644261,0.004202134767926572,0.033617078143412575,True
deep,recal,awbir,random-saber_v2,0.01772613582191173,0.008265608066117463,0.027186663577705997,0.009460527755794267,0.0009162792651874547,0.009162792651874547,True
deep,recal,awbir,magnitude-taylor,0.00190909859795397,-0.01689529399594685,0.02071349119185479,0.01880439259390082,0.8339860536271032,1.0,False
deep,recal,awbir,magnitude-fisher,0.004663395872135795,-0.011859851202282199,0.02118664294655379,0.016523247074417994,0.561670246619067,1.0,False
deep,recal,awbir,magnitude-saber_v2,-0.002021764088885365,-0.0130851017628292,0.00904157358505847,0.011063337673943834,0.7063439857873501,1.0,False
deep,recal,awbir,taylor-fisher,0.002754297274181825,-0.008529208398342182,0.014037802946705834,0.011283505672524008,0.6153022862546551,1.0,False
deep,recal,awbir,taylor-saber_v2,-0.003930862686839335,-0.019260182151289273,0.011398456777610602,0.015329319464449938,0.5976975103259065,1.0,False
deep,recal,awbir,fisher-saber_v2,-0.00668515996102116,-0.020431186826985512,0.0070608669049431905,0.01374602686596435,0.3215087351973704,1.0,False
deep,recal,hsr_balanced,random-magnitude,0.022446814338671676,0.019341171765152106,0.025552456912191247,0.0031056425735195704,4.74021025585672e-12,4.266189230271048e-11,True
deep,recal,hsr_balanced,random-taylor,0.013975000456529291,0.011197803167881593,0.01675219774517699,0.0027771972886476985,2.268331678047425e-09,1.81466534243794e-08,True
deep,recal,hsr_balanced,random-fisher,0.01234226913314219,0.00964200465142548,0.015042533614858898,0.0027002644817167086,1.0690662304364054e-08,7.483463613054838e-08,True
