method,seed,parameters,raw_awbir,raw_hsr_balanced,trained_b2a,trained_a2b,trained_family_f1,trained_fine_f1,trained_awbir,trained_hsr_balanced,recal_b2a,recal_a2b,recal_family_f1,recal_fine_f1,recal_awbir,recal_hsr_balanced
saber_v2,307,97117,0.13502759638242082,0.15262023483995496,0.053,0.023379749011517965,0.7945689922724233,0.6913915904902933,0.1293055994656027,0.14284381534502172,0.05275,0.023242221076156096,0.8068785467068578,0.7085312240337038,0.09406466783955235,0.13604632459385554
saber_v2,401,97117,0.13502759638242082,0.15262023483995496,0.05,0.023414130995358433,0.7904847917348427,0.6926702856502872,0.09949660321363904,0.1426121923757439,0.04975,0.023431321987278667,0.7908901663609277,0.6945457068284708,0.09909349844452303,0.14280199453112435
saber_v2,503,97117,0.13502759638242082,0.15262023483995496,0.0445,0.02602716176723397,0.8068980910205884,0.7125049737279168,0.1140114109642919,0.13681840115811486,0.049,0.024290871583290356,0.7918151665723001,0.6834493616274513,0.16159456093560992,0.14379604310760816
saber_v2,613,97117,0.13502759638242082,0.15262023483995496,0.04025,0.028451091627986935,0.7893205803975342,0.6840838344493799,0.1361885172668714,0.14685861347917,0.04275,0.0272133402097301,0.8001757371335075,0.6964500048579592,0.10175018318153442,0.14048576483834646
saber_v2,719,97117,0.13502759638242082,0.15262023483995496,0.04625,0.028176035757263195,0.7992119364426004,0.6934059798112074,0.14050373861801638,0.1406562650796204,0.043,0.029499742135121198,0.8139829180853918,0.7246421683718957,0.08720023284383448,0.1279105677979733
saber_v2,823,97117,0.13502759638242082,0.15262023483995496,0.04975,0.02683513838748496,0.8134275305764666,0.7146930955484979,0.11785557708457105,0.1283062570371562,0.0495,0.02630221763795771,0.8121409352013461,0.7196518850226074,0.10183486275143129,0.13020749557664468
saber_v2,907,97117,0.13502759638242082,0.15262023483995496,0.0485,0.025425477050025787,0.7966542559393316,0.6966452841775792,0.11915618590695673,0.14048898182403088,0.0475,0.02652570053292075,0.799110282596439,0.7023076094001933,0.10406715012252561,0.13806980858935178
saber_v2,1013,97117,0.13502759638242082,0.15262023483995496,0.0575,0.02336255801959773,0.7932748453877444,0.6817098658475566,0.15449388645949788,0.14306578735724626,0.06325,0.021093347086126868,0.793586896921791,0.6846261600796203,0.1482529622985714,0.1419913141386521
saber_v2,1109,97117,0.13502759638242082,0.15262023483995496,0.05525,0.023035929173113288,0.7934416805190821,0.6905335609952936,0.1470829259679526,0.1412417564741837,0.05925,0.022193570569021832,0.794502649692325,0.6974189038097983,0.13137024090633773,0.13964613157471448
saber_v2,1201,97117,0.13502759638242082,0.15262023483995496,0.058,0.022829637270070483,0.8089953026814586,0.7014596991140518,0.11661945588775519,0.13636802316229693,0.05725,0.022692109334708613,0.7979817642675666,0.6952873222641734,0.11178630907279383,0.1420170500241274
saber_v2,1303,97117,0.13502759638242082,0.15262023483995496,0.04725,0.026852329379405192,0.7664225708831743,0.6561388507279142,0.22017399537844132,0.15905098922309796,0.04875,0.026611655492521917,0.8167360787053951,0.7242565265907493,0.10755610818397829,0.1277014637284864
saber_v2,1409,97117,0.13502759638242082,0.15262023483995496,0.0475,0.024823792332817604,0.7772351572341827,0.6634617819054803,0.19050399265050627,0.15226314942898506,0.0485,0.02411896166408802,0.7815295115184343,0.6721027226637927,0.17932307045312718,0.14953836255428662
saber_v2,1511,97117,0.13502759638242082,0.15262023483995496,0.05425,0.023035929173113288,0.8168946371968523,0.7362740852286501,0.07566224253812072,0.12132539810197844,0.058,0.02131682998108991,0.7975574537310294,0.6999881961030572,0.11584418851122423,0.13717548656908476
saber_v2,1607,97117,0.13502759638242082,0.15262023483995496,0.05675,0.022778064294309782,0.8079357305169482,0.7092818222033074,0.12839161805562102,0.13373652887244653,0.05875,0.022898401237751418,0.808808218656662,0.714160183054141,0.1190123453210834,0.13304487695029757
saber_v2,1709,97117,0.13502759638242082,0.15262023483995496,0.051,0.02319064810039539,0.8214386994068231,0.7289363481412354,0.08757663393648717,0.1261766125140743,0.053,0.022554581399346744,0.8159255176264227,0.721145508861105,0.07423110445616442,0.13191249798938393
saber_v2,1801,97117,0.13502759638242082,0.15262023483995496,0.0475,0.024840983324737838,0.8033254326841889,0.6911544825240664,0.1407886028929858,0.14036030239665434,0.0465,0.024823792332817604,0.8222960568876428,0.7298743531759081,0.07972433514905816,0.12360945793791218
saber_v2,1907,97117,0.13502759638242082,0.15262023483995496,0.0475,0.02585525184803163,0.7984749672823822,0.7196565787869171,0.08926702165553532,0.1351133987453756,0.0475,0.02635379061371841,0.7961935533601663,0.7214926504977196,0.09268279368663516,0.13470162457777063
saber_v2,2003,97117,0.13502759638242082,0.15262023483995496,0.0445,0.024342444559051057,0.8065221038703657,0.7132701251054879,0.0999112599802612,0.13084124175647419,0.04925,0.023276603059996563,0.8051030389868492,0.7106622683439134,0.10377622768736908,0.13027826926170177
