arch,seed,dose,class,M0_test_recall,compressed_test_recall,recall_loss,validation_2sd_band,material_and_beyond_band
cnn1d,0,0.95,BrowserHijacking,0.019562715765247412,0.0,0.019562715765247412,0.02777429715263441,False
cnn1d,0,0.95,DictionaryBruteForce,0.32755102040816325,0.0,0.32755102040816325,0.050344329023276055,True
cnn1d,0,0.95,DDoS-SlowLoris,0.954183266932271,0.0005691519635742744,0.9536141149686966,0.03310488431469255,True
cnn1d,0,0.95,DDoS-HTTP_Flood,0.7960175966658949,0.0,0.7960175966658949,0.06283048765589343,True
cnn1d,0,0.95,DoS-HTTP_Flood,0.8669215704560291,0.0,0.8669215704560291,0.03985415067034641,True
cnn1d,0,0.95,Recon-PortScan,0.2467392207360638,0.0,0.2467392207360638,0.07985045010637541,True
cnn1d,0,0.95,Recon-OSScan,0.11454231433506044,0.0,0.11454231433506044,0.10326414789120288,True
cnn1d,0,0.95,DDoS-ICMP_Flood,0.997904339250493,0.0,0.997904339250493,0.0012315082587516983,True
cnn1d,0,0.95,DDoS-RSTFINFlood,0.9991676080623105,0.002735002080979844,0.9964326059813307,0.0010455514158798306,True
cnn1d,0,0.95,DDoS-TCP_Flood,0.6484739049394221,0.0,0.6484739049394221,0.23415091411258288,True
cnn1d,0,0.95,DDoS-SynonymousIP_Flood,0.34167970787689095,0.0,0.34167970787689095,0.235929254057588,True
cnn1d,0,0.95,DDoS-UDP_Flood,0.7421512270616847,0.9996683617068317,-0.25751713464514703,0.09047640950289787,False
cnn1d,0,0.95,DoS-TCP_Flood,0.41158733577428386,0.0,0.41158733577428386,0.2643813212009498,True
cnn1d,0,0.95,DDoS-PSHACK_Flood,0.9983433423068958,0.0,0.9983433423068958,0.11038504026051069,True
cnn1d,0,0.95,DDoS-SYN_Flood,0.5225642330195879,0.0,0.5225642330195879,0.5238379149660953,False
cnn1d,0,0.95,Recon-HostDiscovery,0.7047428856714928,0.0,0.7047428856714928,0.05981364338037638,True
cnn1d,0,0.95,DoS-SYN_Flood,0.16439051397988372,0.0,0.16439051397988372,0.1338491875766533,True
cnn1d,0,0.95,DoS-UDP_Flood,0.6823112784651246,0.0,0.6823112784651246,0.013090549202921372,True
cnn1d,0,0.95,DNS_Spoofing,0.612758792239103,0.0,0.612758792239103,0.09199911478240713,True
cnn1d,0,0.95,MITM-ArpSpoofing,0.12505002728761141,0.0,0.12505002728761141,0.07459414892841161,True
cnn1d,0,0.95,Mirai-udpplain,0.9874220374220374,0.0,0.9874220374220374,0.0030144583209302193,True
cnn1d,0,0.95,Mirai-greeth_flood,0.9728399253097946,0.0,0.9728399253097946,0.015483301867355035,True
cnn1d,0,0.95,Mirai-greip_flood,0.9839167455061495,0.0,0.9839167455061495,0.01286645097872988,True
cnn1d,0,0.95,DDoS-UDP_Fragmentation,0.9898242677824268,0.0,0.9898242677824268,0.001461089802842454,True
cnn1d,0,0.95,DDoS-ACK_Fragmentation,0.9651481704461837,0.0,0.9651481704461837,0.0004267613327376908,True
cnn1d,0,0.95,VulnerabilityScan,0.6740220661985958,0.0,0.6740220661985958,0.08585360693926365,True
cnn1d,0,0.95,DDoS-ICMP_Fragmentation,0.9721331194867683,0.002706495589414595,0.9694266238973537,0.0009734754201886736,True
cnn1d,0,0.95,BenignTraffic,0.6791022343943088,0.09194749674359574,0.5871547376507131,0.08575705286341911,True
cnn1d,1,0.0,Uploading_Attack,0.07446808510638298,0.0,0.07446808510638298,0.02854554864893348,False
cnn1d,1,0.0,Recon-PingSweep,0.0029411764705882353,0.0,0.0029411764705882353,0.0,False
cnn1d,1,0.0,Backdoor_Malware,0.037267080745341616,0.0,0.037267080745341616,0.03750541589535823,False
cnn1d,1,0.0,XSS,0.03119584055459272,0.0,0.03119584055459272,0.014908709301633669,False
cnn1d,1,0.0,SqlInjection,0.06861499364675985,0.0012706480304955528,0.0673443456162643,0.030357587108549838,False
cnn1d,1,0.0,CommandInjection,0.018541409147095178,0.003708281829419036,0.014833127317676142,0.032744446919116224,False
cnn1d,1,0.0,BrowserHijacking,0.01611047180667434,0.0034522439585730723,0.012658227848101267,0.02777429715263441,False
cnn1d,1,0.0,DictionaryBruteForce,0.4433673469387755,0.4423469387755102,0.0010204081632653184,0.050344329023276055,False
cnn1d,1,0.0,DDoS-SlowLoris,0.9558907228229937,0.9484917472965282,0.007398975526465512,0.03310488431469255,False
cnn1d,1,0.0,DDoS-HTTP_Flood,0.8298217179902755,0.8587636026858069,-0.028941884695531384,0.06283048765589343,False
cnn1d,1,0.0,DoS-HTTP_Flood,0.8751282290403805,0.80798284062296,0.06714538841742046,0.03985415067034641,False
cnn1d,1,0.0,Recon-PortScan,0.20121292680900557,0.21857605715709894,-0.017363130348093364,0.07985045010637541,False
cnn1d,1,0.0,Recon-OSScan,0.1805181347150259,0.10791018998272885,0.07260794473229705,0.10326414789120288,False
cnn1d,1,0.0,DDoS-ICMP_Flood,0.997904339250493,0.9978427021696252,6.163708086781572e-05,0.0012315082587516983,False
cnn1d,1,0.0,DDoS-RSTFINFlood,0.9991081514953326,0.9992270646292883,-0.00011891313395573366,0.0010455514158798306,False
cnn1d,1,0.0,DDoS-TCP_Flood,0.5966915191053123,0.38350419384902146,0.2131873252562908,0.23415091411258288,False
cnn1d,1,0.0,DDoS-SynonymousIP_Flood,0.7046890395873181,0.8205529473135107,-0.1158639077261926,0.235929254057588,False
cnn1d,1,0.0,DDoS-UDP_Flood,0.6878178200309529,0.5674883926597392,0.12032942737121377,0.09047640950289787,True
