attacker_seeds,held_out_seed,recipe,strategy,n_types,misattribution_rate,attack_to_benign_rate,cross_family_rate,wrong_family_or_benign_rate,n_flows
"(0, 3, 4)",1,default_layerwise80,random_over_detectable,18,0.3262257448642003,0.09028239206786415,0.14568383783918296,0.23596622990704713,383570
"(0, 3, 4)",1,default_layerwise80,blind_spot_set,1,0.9771519164412944,0.0008393173552177563,0.9729553296652056,0.9737946470204234,10723
"(0, 3, 4)",2,default_layerwise80,random_over_detectable,18,0.9389474293756757,0.003194564255630412,0.4881781741272776,0.49137273838290807,383570
"(0, 3, 4)",2,default_layerwise80,blind_spot_set,1,1.0,0.0,1.0,1.0,10723
"(0, 3, 4)",1,protect_conv0,random_over_detectable,18,0.13866115655816988,0.013739697884473498,0.08330503876376966,0.09704473664824315,383570
"(0, 3, 4)",1,protect_conv0,blind_spot_set,1,0.19201715937704,0.00018651496782616804,0.18418353072834096,0.1843700456961671,10723
"(0, 3, 4)",2,protect_conv0,random_over_detectable,18,0.1613081381818031,0.021972475080046856,0.10639023495287964,0.1283627100329265,383570
"(0, 3, 4)",2,protect_conv0,blind_spot_set,1,0.11162920824396161,0.0006528023873915882,0.1045416394665672,0.10519444185395878,10723
"(0, 3, 4)",1,global80,random_over_detectable,18,0.1587013473744112,0.01926797069142358,0.10194571486836004,0.1212136855597836,383570
"(0, 3, 4)",1,global80,blind_spot_set,1,0.2116012309987877,0.0003730299356523361,0.2026485125431316,0.20302154247878393,10723
"(0, 3, 4)",2,global80,random_over_detectable,18,0.16794643369203188,0.017624387014318087,0.11379759102496909,0.13142197803928718,383570
"(0, 3, 4)",2,global80,blind_spot_set,1,0.16693089620442036,0.0,0.16394665671920172,0.16394665671920172,10723
"(0, 3, 4)",1,dense,random_over_detectable,18,0.1434982610053857,0.016760198525045747,0.0948694201471112,0.11162961867215694,383570
"(0, 3, 4)",1,dense,blind_spot_set,1,0.12487177095961954,9.325748391308402e-05,0.11246852559917933,0.11256178308309242,10723
"(0, 3, 4)",2,dense,random_over_detectable,18,0.14910830323670937,0.019762605028925195,0.09267363941150258,0.11243624444042778,383570
"(0, 3, 4)",2,dense,blind_spot_set,1,0.13270539960831862,0.00018651496782616804,0.12813578289657745,0.1283222978644036,10723
"(1, 2, 3)",0,default_layerwise80,random_over_detectable,19,0.3636923951266629,0.0018844536241280278,0.20025919392998742,0.20214364755411546,400823
"(1, 2, 3)",0,default_layerwise80,blind_spot_set,4,0.62820253508283,0.00532891967395048,0.5742673128656358,0.5795962325395863,85022
"(1, 2, 3)",4,default_layerwise80,random_over_detectable,19,0.5955222212520085,0.0016767034985759512,0.42678204695013394,0.42845875044871,400823
"(1, 2, 3)",4,default_layerwise80,blind_spot_set,4,0.5969973250641433,0.000382687229727144,0.2977080080515365,0.29809069528126364,85022
"(1, 2, 3)",0,protect_conv0,random_over_detectable,19,0.1962960998581123,0.008724060202487213,0.13564927177810213,0.14437333198058933,400823
"(1, 2, 3)",0,protect_conv0,blind_spot_set,4,0.4350283478737854,0.018148941869809806,0.30961982377777136,0.3277687656475811,85022
"(1, 2, 3)",4,protect_conv0,random_over_detectable,19,0.1354470879613931,0.016629934626518336,0.076107274593374,0.09273720921989233,400823
"(1, 2, 3)",4,protect_conv0,blind_spot_set,4,0.21672962042927546,0.025491149509319706,0.11543970963769577,0.14093085914701547,85022
"(1, 2, 3)",0,global80,random_over_detectable,19,0.1622736860062639,0.008376716625318064,0.11454971757591981,0.12292643420123789,400823
"(1, 2, 3)",0,global80,blind_spot_set,4,0.3264022021973786,0.010705675251616854,0.25524833128398744,0.26595400653560425,85022
"(1, 2, 3)",4,global80,random_over_detectable,19,0.1411432940138363,0.013805899481113092,0.08735383342185965,0.10115973290297274,400823
"(1, 2, 3)",4,global80,blind_spot_set,4,0.24806117946053105,0.022142636249207197,0.15407096566509257,0.17621360191429974,85022
"(1, 2, 3)",0,dense,random_over_detectable,19,0.17615393247818786,0.014490562032329287,0.09758945383403314,0.11208001586636245,400823
"(1, 2, 3)",0,dense,blind_spot_set,4,0.2812038890061086,0.018974692261455726,0.1989729236939599,0.21794761595541565,85022
"(1, 2, 3)",4,dense,random_over_detectable,19,0.1349761024969987,0.012450000564038338,0.07977890050382944,0.09222890106786774,400823
