filters,dose,class,mean_recall_loss,affected_frequency
128,0.951,DoS-HTTP_Flood,0.5522894712300662,0.8
128,0.951,DoS-SYN_Flood,0.2918796714958014,0.0
128,0.951,DoS-TCP_Flood,0.6905556752099935,1.0
128,0.951,DoS-UDP_Flood,0.4347409001255155,0.8
128,0.951,MITM-ArpSpoofing,-0.033356376205202834,0.4
128,0.951,Mirai-greeth_flood,0.6012154133423867,0.8
128,0.951,Mirai-greip_flood,0.5210636572509799,0.6
128,0.951,Mirai-udpplain,0.606049896049896,0.6
128,0.951,Recon-HostDiscovery,0.4109735396904643,0.6
128,0.951,Recon-OSScan,-0.005706390328151986,0.4
128,0.951,Recon-PingSweep,0.0,0.0
128,0.951,Recon-PortScan,0.19810584032566253,1.0
128,0.951,SqlInjection,0.050825921219822115,0.0
128,0.951,Uploading_Attack,0.015957446808510637,0.0
128,0.951,VulnerabilityScan,0.701283851554664,1.0
128,0.951,XSS,0.0058925476603119585,0.0
