set_id,architecture,budget,target,observed,additive_prediction,interaction_residual
deep_b40_s32429,deep,0.4,raw_fine_f1_loss,0.16160401624054876,0.17941326242696093,-0.017809246186412164
deep_b40_s32431,deep,0.4,raw_fine_f1_loss,0.12821904572691856,0.1088471772094013,0.01937186851751725
deep_b40_s32433,deep,0.4,raw_fine_f1_loss,0.23306037513999506,0.16752207035107655,0.0655383047889185
deep_b40_s32435,deep,0.4,raw_fine_f1_loss,0.16877895742144045,0.22132604921510043,-0.05254709179365999
deep_b40_s32437,deep,0.4,raw_fine_f1_loss,0.14166111780243873,0.16203645076464537,-0.020375332962206644
deep_b40_s32439,deep,0.4,raw_fine_f1_loss,0.28341160303078844,0.23538630278883282,0.048025300241955615
deep_b40_s32441,deep,0.4,raw_fine_f1_loss,0.24070864576238427,0.22397358632535644,0.016735059437027827
deep_b40_s32443,deep,0.4,raw_fine_f1_loss,0.18752061436010814,0.24004238794394994,-0.0525217735838418
deep_b40_s32445,deep,0.4,raw_fine_f1_loss,0.16075763846155006,0.2012519842246902,-0.04049434576314015
deep_b40_s32447,deep,0.4,raw_fine_f1_loss,0.05288269769929049,0.15958520352792185,-0.10670250582863136
deep_b40_s32449,deep,0.4,raw_fine_f1_loss,0.32323090165466484,0.19266434192278353,0.1305665597318813
deep_b40_s32451,deep,0.4,raw_fine_f1_loss,0.4496082192631511,0.24807174484141542,0.20153647442173567
deep_b40_s32453,deep,0.4,raw_fine_f1_loss,0.16366852507519714,0.2091085563765862,-0.04544003130138907
deep_b40_s32455,deep,0.4,raw_fine_f1_loss,0.09424135345822393,0.17038196444893114,-0.07614061099070721
deep_b40_s32457,deep,0.4,raw_fine_f1_loss,0.23664917715590283,0.18149013172664735,0.05515904542925548
deep_b40_s32459,deep,0.4,raw_fine_f1_loss,0.10627109801816531,0.18502862562973837,-0.07875752761157306
deep_b40_s32461,deep,0.4,raw_fine_f1_loss,0.1502001516037091,0.20155627798501757,-0.05135612638130849
deep_b40_s32463,deep,0.4,raw_fine_f1_loss,0.20577132665533637,0.22178656176521924,-0.01601523510988287
deep_b40_s32465,deep,0.4,raw_fine_f1_loss,0.4520849220602193,0.24704097507352096,0.2050439469866983
deep_b40_s32427,deep,0.4,raw_family_f1_loss,0.1730519920391349,0.16533765653518379,0.00771433550395112
deep_b40_s32429,deep,0.4,raw_family_f1_loss,0.09384283431758983,0.1129145947200888,-0.019071760402498972
deep_b40_s32431,deep,0.4,raw_family_f1_loss,0.14415330903729073,0.058708285358308916,0.08544502367898182
deep_b40_s32433,deep,0.4,raw_family_f1_loss,0.27288900013769074,0.11497657873405094,0.1579124214036398
deep_b40_s32435,deep,0.4,raw_family_f1_loss,0.189096940548463,0.19891662595270984,-0.009819685404246853
deep_b40_s32437,deep,0.4,raw_family_f1_loss,0.11956492135695468,0.11354941464440274,0.006015506712551938
deep_b40_s32439,deep,0.4,raw_family_f1_loss,0.18716138580821834,0.25098284155885936,-0.06382145575064102
deep_b40_s32441,deep,0.4,raw_family_f1_loss,0.27964365982768186,0.2231998836841135,0.05644377614356835
deep_b40_s32443,deep,0.4,raw_family_f1_loss,0.22438352029586367,0.2866791729508193,-0.062295652654955624
deep_b40_s32445,deep,0.4,raw_family_f1_loss,0.09257448221314829,0.19827860113862072,-0.10570411892547243
deep_b40_s32447,deep,0.4,raw_family_f1_loss,0.045869622846702485,0.13700860292180433,-0.09113898007510185
deep_b40_s32449,deep,0.4,raw_family_f1_loss,0.2615906627757071,0.22751096066819135,0.034079702107515736
deep_b40_s32451,deep,0.4,raw_family_f1_loss,0.41066696306046735,0.28637591744480584,0.12429104561566151
deep_b40_s32453,deep,0.4,raw_family_f1_loss,0.19570591544259597,0.25995344231125256,-0.06424752686865659
deep_b40_s32455,deep,0.4,raw_family_f1_loss,0.11930459361337908,0.22634992959820516,-0.10704533598482607
deep_b40_s32457,deep,0.4,raw_family_f1_loss,0.15620301549438892,0.1556208428398337,0.0005821726545552075
deep_b40_s32459,deep,0.4,raw_family_f1_loss,0.18429350856648574,0.17175459454969344,0.012538914016792302
deep_b40_s32461,deep,0.4,raw_family_f1_loss,0.19078887834185537,0.24527114927355143,-0.05448227093169605
deep_b40_s32463,deep,0.4,raw_family_f1_loss,0.16585851757476688,0.2059845150470817,-0.04012599747231482
deep_b40_s32465,deep,0.4,raw_family_f1_loss,0.44379115797183344,0.28358329323064974,0.1602078647411837
shallow_b25_s22277,shallow,0.25,raw_awbir,0.4389045563283225,0.46715527449991767,-0.02825071817159519
shallow_b25_s22279,shallow,0.25,raw_awbir,0.40455650799059223,0.451574051981905,-0.04701754399131275
shallow_b25_s22281,shallow,0.25,raw_awbir,0.44252378314990565,0.4606382994524022,-0.018114516302496553
shallow_b25_s22283,shallow,0.25,raw_awbir,0.448736838692222,0.4113774463368235,0.03735939235539848
shallow_b25_s22285,shallow,0.25,raw_awbir,0.354513959712925,0.38318726196024544,-0.028673302247320454
shallow_b25_s22287,shallow,0.25,raw_awbir,0.3606213023700884,0.32364944400471535,0.036971858365373034
shallow_b25_s22289,shallow,0.25,raw_awbir,0.4457854627481733,0.5127058051813952,-0.06692034243322187
shallow_b25_s22291,shallow,0.25,raw_awbir,0.35752402336583977,0.29149531492756575,0.06602870843827402
shallow_b25_s22293,shallow,0.25,raw_awbir,0.3755713081246052,0.39797860266863494,-0.022407294544029732
shallow_b25_s22295,shallow,0.25,raw_awbir,0.3555080007945036,0.45455299210611866,-0.09904499131161504
