group_id,module_path,layer_index,channel_index,out_channels,in_channels,kernel_size,parameter_cost,flops_cost,batchnorm_path,downstream_path,downstream_kind,random,magnitude,taylor,fisher,bn_gamma,r_sbl,profile_min,profile_mean,profile_max,profile_aggregation,profile_cvar_q,v_c,selection_priority,protected,selected_for_pruning,selection_order
conv.0:out:18,conv.0,0,18,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.8276311719925821,0.9482548534870148,0.3091577841900289,0.0401266759916325,0.799178957939148,0.0004814161827862,0.000475315002448,0.0004791918840926,0.0004814161827862,cvar,0.75,0.4489834698809324,2.6080266338708704e-05,False,False,
conv.0:out:19,conv.0,0,19,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.6316643991220648,1.2324867434799671,1.3795788943767548,0.5633135622134432,1.1026862859725952,0.0011615445255879,0.0011546610204982,0.0011582436495801,0.0011615445255879,cvar,0.75,1.0775603277142376,1.9904972556944126e-05,False,False,
conv.0:out:20,conv.0,0,20,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.7580877400853738,0.941082090139389,1.390426377952099,0.6053827155381442,0.9014732241630554,0.0007639376998386,0.0007587552136824,0.0007609703509462,0.0007639376998386,cvar,0.75,0.7857210722916317,2.3888817674587943e-05,False,False,
conv.0:out:21,conv.0,0,21,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.3545259681298683,0.6683541312813759,0.3739454201422632,0.0652933434670558,1.134764313697815,0.0007342214535531,0.0006757603673065,0.0006989142170556,0.0007342214535531,cvar,0.75,0.7183735518094918,1.1171802109090197e-05,False,True,44.0
conv.0:out:22,conv.0,0,22,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.9706980243949032,0.6088477978482842,0.4324299842119217,0.1275989074745666,0.7949062585830688,0.0002295937994068,0.0002253322188162,0.0002277408675564,0.0002295937994068,cvar,0.75,0.1346950409642797,3.058858084057803e-05,False,False,
conv.0:out:23,conv.0,0,23,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.8931211213221977,1.21799479983747,0.2807693201117217,0.027204829108814,0.7260613441467285,0.0002809849624826,0.0002788232360203,0.0002798554856786,0.0002809849624826,cvar,0.75,0.1795933879523729,2.8143981890785836e-05,False,False,
conv.0:out:24,conv.0,0,24,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.7783834970737619,1.647136092185974,0.7597825369099155,0.1683875938014125,1.0743205547332764,0.0006632181382619,0.0006289605051051,0.0006433063897085,0.0006632181382619,cvar,0.75,0.6061276843392587,2.452837641248383e-05,False,False,
conv.0:out:25,conv.0,0,25,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.1946387078519675,1.4541220664978027,0.6415210457518696,0.1645615904184524,0.9605013132095336,0.0008252458943087,0.0008068589134624,0.0008172744385405,0.0008252458943087,cvar,0.75,0.8306194192797249,6.133443872564678e-06,False,True,26.0
conv.0:out:26,conv.0,0,26,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.4667210037270342,1.4074326306581495,0.78637890573591,0.23157926176209,0.976975440979004,0.0009255984918972,0.0009158474876842,0.000920839528005,0.0009255984918972,cvar,0.75,0.942865286749958,1.4707285678673793e-05,False,False,
conv.0:out:27,conv.0,0,27,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.0438037657872287,2.0315816402435303,1.670733878389001,0.8918017137795686,1.009345531463623,0.0005746809218489,0.0005720138825201,0.0005737713150606,0.0005746809218489,cvar,0.75,0.5163309903630723,1.3803417718292274e-06,False,True,3.0
conv.0:out:28,conv.0,0,28,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.1542894920675478,0.4562112838029861,1.1852339193224908,0.6309358173981309,1.1670886278152466,0.0015917739282065,0.0015776330094696,0.0015858965310164,0.0015917739282065,cvar,0.75,1.2571537156666106,4.861961683605842e-06,False,True,18.0
conv.0:out:29,conv.0,0,29,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.6830489532424546,1.4056220948696136,0.926858925819397,0.3388938259333372,0.8780648112297058,0.0014862010069537,0.0014753027713497,0.0014791009710334,0.0014862010069537,cvar,0.75,1.2122553686785174,2.1524199698823175e-05,False,False,
